"tract","Name","Employment_Rate_rP_gP_pall"
24005402505,"Randallstown, MD",0.782
24005451702,"Middle River, MD",0.7819
24510270801,"Idlewood, Baltimore, MD",0.7814
24003731309,"Riviera Beach, MD",0.7812
24005402306,"Windsor Mill, Baltimore, MD",0.7812
24510271400,"Evergreen, Baltimore, MD",0.781
24510250101,"Beechfield, Baltimore, MD",0.7804
24005403402,"Pikesville, MD",0.7804
24005403500,"Pikesville, MD",0.7802
24510270101,"Arcadia, Baltimore, MD",0.7802
24510270301,"Lauraville, Baltimore, MD",0.7802
24510240200,"Riverside, Baltimore, MD",0.78
24005441102,"Rosedale, MD",0.7798
24005420302,"Dundalk, MD",0.7797
24510280200,"Gwynn Oak, Baltimore, MD",0.7796
24027602800,"Ellicott City, MD",0.7789
24510270402,"Glenham-Belford, Baltimore, MD",0.7788
24510170100,"Downtown, Baltimore, MD",0.7788
24510120202,"Baltimore, MD",0.7784
24510270902,"Perring Loch, Baltimore, MD",0.7779
24005402509,"Owings Mills, MD",0.7779
24005450900,"Essex, MD",0.7776
24005491202,"Towson, MD",0.7775
24510270102,"Waltherson, Baltimore, MD",0.7763
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7762
24005440800,"Rosedale, MD",0.7759
24510220100,"Baltimore, MD",0.7748
24005420702,"Dundalk, MD",0.7748
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.7748
24005491201,"Towson, MD",0.7745
24027606707,"Columbia, MD",0.7743
24005440600,"Rosedale, MD",0.7738
24003751103,"Glen Burnie, MD",0.7738
24005402604,"Randallstown, MD",0.7734
24003750300,"Linthicum Heights, MD",0.7726
24005420900,"Dundalk, MD",0.7725
24005452000,"Sparrows Point, MD",0.7722
24027601107,"Waterloo, Elkridge, MD",0.7719
24005420100,"Dundalk, MD",0.7718
24005451100,"Essex, MD",0.7706
24005490400,"Towson, MD",0.7701
24005401301,"Woodlawn, MD",0.7699
24005491100,"Baltimore, MD",0.7695
24003731306,"Pasadena, MD",0.7695
24005490500,"Towson, MD",0.7684
24005402307,"Pikesville, MD",0.7677
24005400100,"Catonsville, MD",0.7675
24510270901,"New Northwood, Baltimore, MD",0.7673
24005402407,"Windsor Mill, Milford Mill, MD",0.7672
24510271503,"Cross Keys, Baltimore, MD",0.767
24510280403,"Westgate, Baltimore, MD",0.7668
24027602900,"Normandy, Ellicott City, MD",0.7667
24005430400,"Halethorpe, MD",0.7658
24005401102,"Gwynn Oak, Woodlawn, MD",0.7655
24003751200,"Linthicum Heights, MD",0.7654
24005490900,"Towson, MD",0.7654
24005401507,"Windsor Mill, Baltimore, MD",0.7648
24005402404,"Gwynn Oak, Lochearn, MD",0.7647
24510280402,"Rognel Heights, Baltimore, MD",0.7644
24005401200,"Woodlawn, MD",0.7641
24005420701,"Dundalk, MD",0.7634
24005451300,"Middle River, MD",0.7634
24005492200,"Parkville, MD",0.7633
24005402302,"Windsor Mill, Milford Mill, MD",0.7631
24510130806,"Woodberry, Baltimore, MD",0.7629
24510151100,"East Arlington, Baltimore, MD",0.7628
24005491402,"Parkville, MD",0.7625
24005430800,"Halethorpe, MD",0.7619
24005420500,"Baltimore, MD",0.7619
24005451801,"Middle River, MD",0.7617
24003730300,"Glen Burnie, MD",0.7609
24005450400,"Essex, MD",0.7608
24510260102,"Frankford, Baltimore, MD",0.7601
24005402405,"Gwynn Oak, Baltimore, MD",0.7598
24003751000,"Glen Burnie, MD",0.7594
24003750201,"Brooklyn, Baltimore, MD",0.7593
24510010400,"Canton, Baltimore, MD",0.7585
24003751102,"Glen Burnie, MD",0.7576
24003750803,"Glen Burnie, MD",0.7574
24005402305,"Lochearn, Pikesville, MD",0.7572
24005402406,"Windsor Mill, Milford Mill, MD",0.7571
24510080101,"Belair - Edison, Baltimore, MD",0.756
24005402602,"Randallstown, MD",0.7559
24005430700,"Halethorpe, MD",0.7558
24005420401,"Dundalk, MD",0.7555
24510260302,"Belair - Edison, Baltimore, MD",0.7552
24005401302,"Gwynn Oak, Baltimore, MD",0.7546
24510270803,"Loch Raven, Baltimore, MD",0.7543
24003750900,"Glen Burnie, MD",0.7543
24005400600,"Catonsville, MD",0.754
24005420600,"Baltimore, MD",0.753
24003730401,"Glen Burnie, MD",0.7527
24510040100,"Downtown, Baltimore, MD",0.7527
24005440702,"Rosedale, MD",0.7524
24005450300,"Essex, MD",0.7519
24005450100,"Rosedale, MD",0.751
24005420800,"Dundalk, MD",0.7507
24005402503,"Randallstown, MD",0.7506
24005490703,"Towson, MD",0.7497
24005450200,"Essex, MD",0.7486
24005420402,"Dundalk, MD",0.7484
24510151200,"Park Circle, Baltimore, MD",0.7483
24510260201,"Frankford, Baltimore, MD",0.748
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.7478
24005441000,"Baltimore, MD",0.7477
24510150800,"Garwyn Oaks, Baltimore, MD",0.7471
24005402202,"Baltimore County, MD",0.747
24510260605,"Medford - Broening, Baltimore, MD",0.7468
24005492001,"Parkville, MD",0.7467
24510270401,"Glenham-Belford, Baltimore, MD",0.7466
24003750202,"Brooklyn Park, MD",0.7458
24510271002,"Winston - Govans, Baltimore, MD",0.7457
24510200100,"Lexington, Baltimore, MD",0.7456
24005440701,"Rosedale, MD",0.7449
24005402303,"Windsor Mill, Baltimore, MD",0.7449
24510010500,"Upper Fells Point, Baltimore, MD",0.7445
24005420301,"Dundalk, MD",0.7439
24510260402,"Frankford, Baltimore, MD",0.7431
24510270501,"Woodring, Baltimore, MD",0.7431
24005400701,"Catonsville, MD",0.743
24510120201,"Baltimore, MD",0.7426
24510140100,"Bolton Hill, Baltimore, MD",0.7425
24510150900,"Windsor Hills, Baltimore, MD",0.7416
24510261100,"Canton, Baltimore, MD",0.7413
24003730203,"Glen Burnie, MD",0.7411
24510080302,"Berea, Baltimore, MD",0.7406
24510200702,"Saint Joseph's, Baltimore, MD",0.7393
24005452500,"Dundalk, MD",0.7388
24005421000,"Dundalk, MD",0.7386
24003740102,"Hanover, MD",0.7379
24510260203,"Frankford, Baltimore, MD",0.736
24510280302,"West Forest Park, Baltimore, MD",0.7358
24510270804,"Lake Walker, Baltimore, MD",0.7356
24510260900,"Baltimore, MD",0.7352
24510260101,"Cedmont, Baltimore, MD",0.734
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.7333
24510200800,"Irvington, Baltimore, MD",0.7332
24510250102,"Yale Heights, Baltimore, MD",0.7331
24027601203,"Elkridge, MD",0.7318
24510020100,"Upper Fells Point, Baltimore, MD",0.7315
24510120500,"Greenmount West, Baltimore, MD",0.7311
24005450501,"Essex, MD",0.7309
24510150500,"Burleith-Leighton, Baltimore, MD",0.7308
24510130803,"Medfield, Baltimore, MD",0.7303
24005451402,"Middle River, MD",0.7291
24510150701,"Hanlon Longwood, Baltimore, MD",0.729
24003750203,"Baltimore, MD",0.7283
24510280404,"Irvington, Baltimore, MD",0.7281
24510151000,"Dorchester, Baltimore, MD",0.7279
24510200701,"Allendale, Baltimore, MD",0.7279
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.7276
24005421300,"Dundalk, MD",0.7275
24005450503,"Essex, MD",0.7272
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.7267
24510010200,"Patterson Park, Baltimore, MD",0.7261
24510250203,"Cherry Hill, Baltimore, MD",0.7259
24005450504,"Essex, MD",0.7254
24510150702,"Walbrook, Baltimore, MD",0.725
24510250103,"Violetville, Baltimore, MD",0.7241
24510030200,"Little Italy, Baltimore, MD",0.7234
24510280500,"Pleasant View Gardens, Baltimore, MD",0.7227
24510270805,"Mid-Govans, Baltimore, MD",0.722
24005450800,"Essex, MD",0.7219
24510080600,"Broadway East, Baltimore, MD",0.7211
24510250206,"Morrell Park, Baltimore, MD",0.7205
24510271801,"Arlington, Baltimore, MD",0.7204
24510160600,"Mosher, Baltimore, MD",0.7199
24510271600,"Edgecomb, Baltimore, MD",0.7198
24510130300,"Penn North, Baltimore, MD",0.7196
24510272004,"Cheswolde, Baltimore, MD",0.7193
24510271101,"Radnor - Winston, Baltimore, MD",0.7188
24510080102,"Belair - Edison, Baltimore, MD",0.7185
24510120300,"Harwood, Baltimore, MD",0.7178
24510160801,"Edmondson, Baltimore, MD",0.7175
24510280301,"Gwynn Oak, Baltimore, MD",0.7171
24510280102,"Gwynn Oak, Baltimore, MD",0.7167
24510120400,"Barclay, Baltimore, MD",0.7159
24510130600,"Hampden, Baltimore, MD",0.7156
24510260403,"Cedonia, Baltimore, MD",0.7154
24510260202,"Parkside, Baltimore, MD",0.715
24510160802,"Edmondson, Baltimore, MD",0.7146
24005430900,"Baltimore, MD",0.7142
24510271001,"Baltimore, MD",0.7139
24510271900,"Glen, Baltimore, MD",0.7129
24005451500,"Middle River, MD",0.7117
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.7111
24003750102,"Baltimore, MD",0.7108
24510260700,"Fifteenth Street, Baltimore, MD",0.7108
24510151300,"Central Park Heights, Baltimore, MD",0.7102
24510271802,"Langston Hughes, Baltimore, MD",0.71
24005421102,"Dundalk, MD",0.7097
24510010300,"Canton, Baltimore, MD",0.7097
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.7097
24510130700,"Hampden, Baltimore, MD",0.7092
24510280101,"Reisterstown Station, Baltimore, MD",0.708
24510090500,"Better Waverly, Baltimore, MD",0.7077
24510150600,"NW Community Action, Baltimore, MD",0.7075
24003750101,"Brooklyn Park, MD",0.7068
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.7065
24005403202,"Gwynn Oak, Baltimore, MD",0.706
24510070100,"Baltimore, MD",0.7055
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7054
24005492300,"Essex, MD",0.7051
24005451401,"Middle River, MD",0.7041
24510110100,"Downtown, Baltimore, MD",0.7039
24510260301,"Belair - Edison, Baltimore, MD",0.7034
24510170300,"Upton, Baltimore, MD",0.7033
24510271700,"Central Park Heights, Baltimore, MD",0.7028
24510160200,"Sandtown-Winchester, Baltimore, MD",0.7021
24510250401,"Brooklyn, Baltimore, MD",0.7017
24510130400,"Woodbrook, Baltimore, MD",0.7008
24005452300,"Baltimore, MD",0.6998
24510250204,"Cherry Hill, Baltimore, MD",0.6994
24510230200,"South Baltimore, Baltimore, MD",0.6986
24510271102,"Mid-Charles, Baltimore, MD",0.6986
24005421200,"Dundalk, MD",0.6982
24005421101,"Baltimore, MD",0.698
24510200200,"Lexington, Baltimore, MD",0.6977
24510240100,"Locust Point, Baltimore, MD",0.6974
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.6966
24510260501,"Joseph Lee, Baltimore, MD",0.6945
24510080400,"Broadway East, Baltimore, MD",0.6932
24510160700,"Rosemont, Baltimore, MD",0.6925
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.6918
24510110200,"Downtown, Baltimore, MD",0.6916
24510060200,"Baltimore, MD",0.6911
24510240400,"Riverside Park, Baltimore, MD",0.6897
24005403702,"Pikesville, MD",0.6875
24510030100,"Perkins Homes, Baltimore, MD",0.6875
24510100100,"Johnson Square, Baltimore, MD",0.6864
24510150200,"Sandtown-Winchester, Baltimore, MD",0.6861
24510090400,"Better Waverly, Baltimore, MD",0.6857
24510260800,"Baltimore Highlands, Baltimore, MD",0.6856
24510250303,"Morrell Park, Baltimore, MD",0.684
24510040200,"Downtown, Baltimore, MD",0.6825
24510260303,"Claremont - Freedom, Baltimore, MD",0.6821
24510080500,"Darley Park, Baltimore, MD",0.6811
24510200400,"Shipley Hill, Baltimore, MD",0.6804
24510150400,"Mondawmin, Baltimore, MD",0.6803
24510130200,"Reservoir Hill, Baltimore, MD",0.6802
24510272006,"Glen, Baltimore, MD",0.6801
24510090900,"Oliver, Baltimore, MD",0.6797
24510080700,"Broadway East, Baltimore, MD",0.6779
24510250205,"Lakeland, Baltimore, MD",0.6774
24510272005,"Cross Country, Baltimore, MD",0.6772
24510140200,"Upton, Baltimore, MD",0.6768
24510160400,"Midtown Edmondson, Baltimore, MD",0.6761
24510250301,"Westport, Baltimore, MD",0.676
24005420303,"Dundalk, MD",0.6756
24510170200,"McCulloh Homes, Baltimore, MD",0.6748
24510080800,"Broadway East, Baltimore, MD",0.6745
24510180200,"Poppleton, Baltimore, MD",0.6736
24510090800,"East Baltimore Midway, Baltimore, MD",0.6735
24510250207,"Cherry Hill, Baltimore, MD",0.6727
24510080200,"Broadway East, Baltimore, MD",0.6727
24510150300,"Coppin Heights, Baltimore, MD",0.6718
24510260404,"Baltimore Highlands, Baltimore, MD",0.6707
24510160300,"Sandtown-Winchester, Baltimore, MD",0.6697
24510250402,"Brooklyn, Baltimore, MD",0.6676
24510070400,"Gay Street, Baltimore, MD",0.6662
24510240300,"Riverside, Baltimore, MD",0.6658
24510070200,"Madison - Eastend, Baltimore, MD",0.6636
24510080301,"Berea, Baltimore, MD",0.6635
24510150100,"Sandtown-Winchester, Baltimore, MD",0.6622
24510200600,"Baltimore, MD",0.6611
24510070300,"Milton - Montford, Baltimore, MD",0.661
24510130100,"Reservoir Hill, Baltimore, MD",0.6609
24510272003,"Baltimore, MD",0.66
24510261000,"Patterson Park, Baltimore, MD",0.66
24510160100,"Harlem Park, Baltimore, MD",0.6599
24510250500,"Curtis Bay, Baltimore, MD",0.6518
24510060300,"Butchers Hill, Baltimore, MD",0.6488
24510230300,"South Baltimore, Baltimore, MD",0.6487
24510060100,"Patterson Park, Baltimore, MD",0.6481
24510190100,"Franklin Square, Baltimore, MD",0.6441
24510260401,"Armistead Gardens, Baltimore, MD",0.6424
24510210200,"Pigtown, Baltimore, MD",0.6386
24510272007,"Fallstaff, Baltimore, MD",0.6371
24510130804,"Hampden, Baltimore, MD",0.6355
24510120700,"Remington, Baltimore, MD",0.6347
24510140300,"Druid Heights, Baltimore, MD",0.6289
24510210100,"Pigtown, Baltimore, MD",0.6266
24510020200,"Upper Fells Point, Baltimore, MD",0.6264
24510120600,"Old Goucher, Baltimore, MD",0.6258
24510260604,"O'Donnell Heights, Baltimore, MD",0.6255
24510180300,"Hollins Market, Baltimore, MD",0.623
24510060400,"Baltimore, MD",0.6185
24510100200,"Baltimore, MD",0.6152
24510190200,"Pratt Monroe, Baltimore, MD",0.6118
24510230100,"Baltimore, MD",0.603
24510180100,"Poppleton, Baltimore, MD",0.6023
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.5863
24510190300,"Mount Clare, Baltimore, MD",0.5858
24510200500,"Mill Hill, Baltimore, MD",0.5649
24510250600,"Brooklyn, Baltimore, MD",0.5103
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
